name,samecase,ispass,bugfreeid,comments,failnum
家电行业，市盈率小于50,NULL,0,0,NULL,0
壳资源热门,NULL,0,0,NULL,0
今年哪些股票涨幅最大,NULL,0,0,NULL,0
小盘绩优股,NULL,0,0,NULL,0
近10日跌幅10%,NULL,0,0,NULL,0
连续3年净资产收益率超15%，净利增长率超20%，毛利率超30%,NULL,0,0,NULL,0
连续3年ROE大于15%，净利率大于15%，2010年以前上市,NULL,0,0,NULL,0
生产白糖的企业,NULL,0,0,NULL,0
最近5天涨幅最大的电力股,NULL,0,0,NULL,0
流通a股大于100000000，市盈率小于20,NULL,0,0,NULL,0
连跌7天的股票,NULL,0,0,NULL,0
煤炭行业市盈率低于40的股票,NULL,0,0,NULL,0
roe大于10%，总资产小于100亿元,NULL,0,0,NULL,0
大股东增持的股票,NULL,0,0,NULL,0
2012中报预增100%以上,NULL,0,0,NULL,0
新能源股,NULL,0,0,NULL,0
连续两天振幅超过10%,NULL,0,0,NULL,0
2012年一季度预增,NULL,0,0,NULL,0
创3个月内新高,NULL,0,0,NULL,0
一季报营业收入增长大于30%,NULL,0,0,NULL,0
玻纤类上市公司,NULL,0,0,NULL,0
海西概念个股,NULL,0,0,NULL,0
近30日振幅小于15%,NULL,0,0,NULL,0
经营范围包括贷款,NULL,0,0,NULL,0
最牛的股票,NULL,0,0,NULL,0
有色金属个股,NULL,0,0,NULL,0
目前两市市盈率最低的股票,NULL,0,0,NULL,0
昨天涨停个股,NULL,0,0,NULL,0
券商持股比例超过>5%的股票,NULL,0,0,NULL,0
主营中成药,NULL,0,0,NULL,0
今年一季度收入增长30%以上,NULL,0,0,NULL,0
巴菲特概念,NULL,0,0,NULL,0
2011年高送转中小板股票,NULL,0,0,NULL,0
流通股东有华夏大盘,NULL,0,0,NULL,0
换手率大于8,NULL,0,0,NULL,0
毛利率大于60%，化学制药,NULL,0,0,NULL,0
连续10年没有分红,NULL,0,0,NULL,0
主营产品包括草甘膦的股票,NULL,0,0,NULL,0
最近一个月涨幅超过10%的股票,NULL,0,0,NULL,0
换手率大于3%,NULL,0,0,NULL,0
2012年新股发行价最低价,NULL,0,0,NULL,0
浙江省营业利润连续三年增长20%,NULL,0,0,NULL,0
医药净利润增长排名,NULL,0,0,NULL,0
2009年节能环保利润增长50%以上的股票,NULL,0,0,NULL,0
今年以来大股东增持20%以上的股票,NULL,0,0,NULL,0
连续3年净利润复合增长超过50%且市盈率小于30倍的股票,NULL,0,0,NULL,0
2012年中报预增大于100的股票,NULL,0,0,NULL,0
食品龙头企业,NULL,0,0,NULL,0
最近5天创新高,NULL,0,0,NULL,0
限售股合计占总股本比例大于50%,NULL,0,0,NULL,0
奥运概念股,NULL,0,0,NULL,0
增公开发行中签率大于50%以上,NULL,0,0,NULL,0
银行业股息率最高的公司,NULL,0,0,NULL,0
今年以来大股东增持比例超过80%的股票,NULL,0,0,NULL,0
2012年5月除权股票,NULL,0,0,NULL,0
今年一季度增长100%以上,NULL,0,0,NULL,0
三个月内涨幅超过30%,NULL,0,0,NULL,0
扭亏为赢的,NULL,0,0,NULL,0
连续三年净资产收益率大于20%,NULL,0,0,NULL,0
每股未分配利润大于2元,NULL,0,0,NULL,0
今日涨停,NULL,0,0,NULL,0
触摸屏概念股,NULL,0,0,NULL,0
资产负债率最低,NULL,0,0,NULL,0
次新股中的大盘股,NULL,0,0,NULL,0
高速公路股,NULL,1,0,NULL,8
股息率大于6%的公司,NULL,0,0,NULL,0
2012年业绩大幅上升个股,NULL,0,0,NULL,0
稀土 PE EPS ,NULL,0,0,NULL,0
今年上半年利润预增大于20%,NULL,0,0,NULL,0
macd金叉的股票,NULL,0,0,NULL,0
每股净资产超过股价的企业,NULL,0,0,NULL,0
中报预增1000%,NULL,0,0,NULL,0
限售股比例超过50%,NULL,0,0,NULL,0
2012中报利润翻番的股票,NULL,0,0,NULL,0
智能电网个股,NULL,0,0,NULL,0
食品资金流入最大的,NULL,0,0,NULL,0
今年上涨幅度最大,NULL,0,0,NULL,0
7日均线上穿29日均线,NULL,0,0,NULL,0
营业利润最大,NULL,0,0,NULL,0
连续三年收益率大于30%，每股收益大于0.5,NULL,0,0,NULL,0
3元到4元的股票有哪些,NULL,0,0,NULL,0
总股本是10155万的上市公司,NULL,0,0,NULL,0
同年累计每股分红大于1元,NULL,0,0,NULL,0
钢铁重组有那些,NULL,0,0,NULL,0
中报业绩大于百分百的股票,NULL,0,0,NULL,0
连续2日涨幅大于2%,NULL,0,0,NULL,0
市现率0-6，市盈率0-16的股票,NULL,0,0,NULL,0
综合评级最低的股票,NULL,0,0,NULL,0
"每股净资产要高于10元,总股本要小于3亿",NULL,0,0,NULL,0
长春的上市公司,NULL,0,0,NULL,0
今年来涨幅最大的股票,NULL,0,0,NULL,0
生物质能股票,NULL,0,0,NULL,0
每10股转增股本>9股2011年,NULL,1,0,NULL,1
a股现价最低的是哪支股票,NULL,0,0,NULL,0
QFII持股比例超过5%的股票,NULL,0,0,NULL,0
浙江省市盈率最低，市净率在1-2的股票,NULL,0,0,NULL,0
医药生物流通股小于5亿,NULL,0,0,NULL,0
综合评级在1.8,NULL,0,0,NULL,0
连续三年净收益大于30%，旅游,NULL,0,0,NULL,0
类稀土资源股,NULL,0,0,NULL,0
量比大于3的股票,NULL,0,0,NULL,0
员工人数前5,NULL,0,0,NULL,0
三连阳+成交量放大,NULL,0,0,NULL,0
"市盈率(pe,ttm)小于10大于3",NULL,0,0,NULL,0
市盈率0-6，市净率0-2，净利润为正,NULL,0,0,NULL,0
嘉兴市股票,NULL,0,0,NULL,0
收盘价-净资产< 0银行股,NULL,0,0,NULL,0
交叉持股,NULL,0,0,NULL,0
今年涨幅超过百分之50的股票,NULL,0,0,NULL,0
市盈率大于1与每股收益大于1,NULL,0,0,NULL,0
股东人数大幅减少,NULL,1,0,NULL,11
营业收入同比增长率连续三年大于20%，净利润连续三年同比增长率大于30%净资产收益率连续三年大于18%,NULL,0,0,NULL,0
利润连续3年增长30%，总市值，食品,NULL,0,0,NULL,0
2012年中报预减的有色股票,NULL,0,0,NULL,0
市值大于100亿市盈率低于15净利润率连续三年大于30%,NULL,0,0,NULL,0
请问哪些是创业板,NULL,0,0,NULL,0
连续跌5天,NULL,0,0,NULL,0
总市值最小的股票非st,NULL,0,0,NULL,0
每股现金流量大于1元,NULL,0,0,NULL,0
市盈率小于16的股票,NULL,0,0,NULL,0
2012年三季度净资产收益率大于10%,净资产收益率大于10,1,0,NULL,2
今年跌10%以上,NULL,0,0,NULL,0
今天跌停的股票,NULL,0,0,NULL,0
深圳本地股,NULL,0,0,NULL,0
前天上涨，昨天下跌,NULL,0,0,NULL,0
2012年6月以来大股东增持的股票,NULL,0,0,NULL,0
5000万以下流通盘的股票,NULL,0,0,NULL,0
 连涨天数大于4天的股票,NULL,0,0,NULL,0
创业板牛股,NULL,0,0,NULL,0
前10大股东有宋戈的,NULL,0,0,NULL,0
经营范围包括网络覆盖,NULL,0,0,NULL,0
连续三天上涨的股票,NULL,0,0,NULL,0
新能源电池,NULL,0,0,NULL,0
社保基金重仓股票,NULL,0,0,NULL,0
毛利率大于40% 汽车,NULL,0,0,NULL,0
最近2周振幅小于3%的,NULL,0,0,NULL,0
哪些股票是券商股,NULL,0,0,NULL,0
最近除权的股票,NULL,0,0,NULL,0
近3天连续上涨,NULL,0,0,NULL,0
汽车股,NULL,0,0,NULL,0
医药板块 涨幅,NULL,0,0,NULL,0
中报增500%个股,NULL,0,0,NULL,0
股价在2元以下的股票,NULL,0,0,NULL,0
换手率大于3,NULL,0,0,NULL,0
并购重组概念股,NULL,0,0,NULL,0
今年中签率超过10%的股票,NULL,0,0,NULL,0
连续3年摊薄净资产收益率大于20%,NULL,0,0,NULL,0
6月涨幅最高,NULL,0,0,NULL,0
银行股,NULL,0,0,NULL,0
2012年中报业绩预增100%以上,NULL,0,0,NULL,0
利息费用大于5000万,NULL,0,0,NULL,0
